filename,width,height,class,xmin,ymin,xmax,ymax
1024px-Canadian_Pacific_Railway_manhole_cover_Peel_Street_Montreal.jpg,1024,768,Manhole-Closed,287,260,732,574
2016_8$largeimg24_Wednesday_2016_005135754.jpg,660,994,Manhole-Closed,167,470,472,667
6a0115704f318e970b01b7c94e0750970b.jpg,3872,2592,Manhole-Closed,104,150,3366,2592
concrete-block-manhole-opening-pile-damaged-blocks-86406476 - Copy.jpg,1300,958,Manhole-Open,153,12,1165,845
concrete-block-manhole-opening-pile-damaged-blocks-86406476.jpg,1300,958,Manhole-Open,133,8,1160,850
download (1).jpg,300,168,Manhole-Closed,78,5,273,133
download (10).jpg,275,183,Manhole-Open,131,130,226,182
download (11) - Copy.jpg,259,194,Manhole-Open,44,119,145,174
download (11).jpg,259,194,Manhole-Open,45,116,150,174
download (12).jpg,275,183,Manhole-Closed,13,8,263,164
download (13).jpg,299,168,human,40,3,97,147
download (13).jpg,299,168,human,88,1,164,102
download (13).jpg,299,168,human,161,84,187,149
download (13).jpg,299,168,Manhole-Open,142,109,210,153
download (13).jpg,299,168,Manhole-Closed,160,5,205,27
download (13).jpg,299,168,Manhole-Closed,176,47,229,77
download (13).jpg,299,168,Manhole-Closed,256,1,299,17
download (14).jpg,275,183,human,67,22,203,166
download (14).jpg,275,183,Manhole-Open,135,104,206,134
download (15).jpg,299,168,human,9,12,65,164
download (15).jpg,299,168,human,78,11,138,164
download (15).jpg,299,168,human,165,8,217,164
download (15).jpg,299,168,human,222,10,296,165
download (16).jpg,259,194,human,134,77,160,122
download (16).jpg,259,194,human,213,52,228,100
download (16).jpg,259,194,human,48,58,62,83
download (17).jpg,286,176,human,60,3,112,160
download (17).jpg,286,176,human,187,21,229,175
download (17).jpg,286,176,human,169,18,190,125
download (17).jpg,286,176,human,244,30,254,58
download (17).jpg,286,176,human,225,29,232,56
download (18).jpg,275,184,Manhole-Open,83,63,206,160
download (18).jpg,275,184,human,118,99,163,154
download (18).jpg,275,184,human,235,1,272,183
download (2).jpg,307,164,Manhole-Closed,89,91,235,164
download (2).jpg,307,164,Manhole-Closed,149,21,197,36
download (3).jpg,272,185,Manhole-Closed,54,117,183,170
download (3).jpg,272,185,car,142,28,249,70
download (3).jpg,272,185,car,23,30,61,51
download (3).jpg,272,185,car,62,30,83,46
download (3).jpg,272,185,car,139,35,153,45
download (3).jpg,272,185,car,83,34,94,46
download (3).jpg,272,185,Manhole-Closed,83,66,108,75
download (3).jpg,272,185,Manhole-Closed,25,71,52,81
download (4).jpg,290,174,Manhole-Closed,48,73,128,109
download (4).jpg,290,174,Manhole-Open,131,56,165,81
download (5).jpg,259,194,Manhole-Open,76,100,237,172
download (5).jpg,259,194,human,102,1,140,84
download (5).jpg,259,194,car,75,13,97,25
download (6).jpg,320,157,Manhole-Open,64,67,209,119
download (6).jpg,320,157,human,227,1,320,87
download (6).jpg,320,157,human,97,1,212,70
download (6).jpg,320,157,human,1,1,94,148
download (6).jpg,320,157,human,62,24,179,111
download (7).jpg,275,183,Manhole-Closed,23,18,208,177
download (8).jpg,262,192,Manhole-Closed,16,11,72,27
download (8).jpg,262,192,Manhole-Closed,67,27,126,46
download (8).jpg,262,192,Manhole-Closed,3,61,86,90
download (8).jpg,262,192,Manhole-Closed,161,74,258,119
download (9).jpg,300,168,Manhole-Closed,17,7,286,157
download.jpg,305,165,Manhole-Closed,45,68,95,86
download.jpg,305,165,Manhole-Closed,113,87,165,103
download.jpg,305,165,human,167,10,209,95
download.jpg,305,165,human,141,21,171,84
download.jpg,305,165,car,58,5,88,22
download.jpg,305,165,car,110,9,128,20
download.jpg,305,165,car,28,6,58,22
Humans-season-3-961237.jpg,590,350,human,11,26,151,347
Humans-season-3-961237.jpg,590,350,human,169,22,286,347
Humans-season-3-961237.jpg,590,350,human,293,15,590,344
images (1).jpg,267,189,Manhole-Closed,10,58,72,88
images (1).jpg,267,189,Manhole-Closed,99,25,145,42
images (1).jpg,267,189,Manhole-Closed,131,79,224,149
images (1).jpg,267,189,Manhole-Closed,194,39,251,65
images (1).jpg,267,189,Manhole-Closed,45,2,74,9
images (10).jpg,300,168,Manhole-Open,59,110,290,168
images (10).jpg,300,168,human,42,7,94,102
images (100).jpg,248,203,Manhole-Closed,43,122,83,146
images (100).jpg,248,203,human,47,74,82,139
images (100).jpg,248,203,human,133,16,176,105
images (11).jpg,225,224,Manhole-Open,51,83,176,154
images (12).jpg,257,196,Manhole-Open,44,69,177,142
images (13).jpg,269,187,Manhole-Closed,49,47,118,71
images (13).jpg,269,187,Manhole-Closed,91,72,196,123
images (13).jpg,269,187,Manhole-Closed,164,45,239,68
images (14).jpg,225,224,Manhole-Open,51,84,181,157
images (15) - Copy.jpg,278,182,Manhole-Open,93,124,191,167
images (15) - Copy.jpg,278,182,human,49,6,116,181
images (15) - Copy.jpg,278,182,human,112,65,163,166
images (15).jpg,278,182,Manhole-Open,90,123,191,165
images (15).jpg,278,182,human,50,3,126,178
images (15).jpg,278,182,human,106,62,164,166
images (16).jpg,259,194,Manhole-Closed,68,32,206,152
images (17).jpg,259,194,Manhole-Closed,27,55,246,165
images (18).jpg,225,225,Manhole-Closed,15,78,220,182
images (19).jpg,300,168,Manhole-Open,103,66,212,137
images (2).jpg,278,181,Manhole-Closed,55,85,247,135
images (20) - Copy.jpg,300,168,Manhole-Open,103,45,134,63
images (20) - Copy.jpg,300,168,Manhole-Open,34,116,116,158
images (20) - Copy.jpg,300,168,Manhole-Open,212,138,257,167
images (20) - Copy.jpg,300,168,Manhole-Open,216,19,237,29
images (20).jpg,300,168,Manhole-Open,103,45,134,65
images (20).jpg,300,168,Manhole-Open,33,117,117,161
images (20).jpg,300,168,Manhole-Open,211,142,254,164
images (20).jpg,300,168,Manhole-Open,214,18,237,28
images (21).jpg,300,168,Manhole-Open,105,66,209,140
images (22) - Copy.jpg,270,187,Manhole-Open,1,102,139,186
images (22) - Copy.jpg,270,187,human,187,56,214,120
images (22) - Copy.jpg,270,187,human,213,25,267,129
images (22).jpg,270,187,Manhole-Open,1,100,149,185
images (22).jpg,270,187,human,187,58,213,120
images (22).jpg,270,187,human,216,25,268,126
images (23).jpg,259,194,Manhole-Closed,34,66,239,175
images (24).jpg,278,182,Manhole-Open,146,121,212,152
images (25) - Copy.jpg,275,183,Manhole-Open,131,132,228,181
images (25).jpg,275,183,Manhole-Open,134,131,245,180
images (26) - Copy.jpg,200,149,Manhole-Open,44,71,181,145
images (26) - Copy.jpg,200,149,car,2,1,69,36
images (26) - Copy.jpg,200,149,car,82,6,121,26
images (26) - Copy.jpg,200,149,car,116,10,135,22
images (26) - Copy.jpg,200,149,car,138,7,158,22
images (26) - Copy.jpg,200,149,car,159,9,188,23
images (26).jpg,200,149,Manhole-Open,41,81,183,148
images (26).jpg,200,149,car,1,1,73,39
images (26).jpg,200,149,car,90,7,121,25
images (26).jpg,200,149,car,118,7,135,22
images (26).jpg,200,149,car,138,8,161,27
images (26).jpg,200,149,car,162,9,194,21
images (27).jpg,283,178,Manhole-Closed,86,74,182,105
images (28).jpg,275,183,Manhole-Open,98,67,166,97
images (29).jpg,339,149,Manhole-Closed,117,61,216,104
images (3).jpg,265,190,Manhole-Closed,101,81,253,167
images (30) - Copy.jpg,259,194,Manhole-Open,41,76,250,194
images (30) - Copy.jpg,259,194,human,84,1,250,88
images (30).jpg,259,194,Manhole-Open,50,82,248,193
images (30).jpg,259,194,human,80,1,251,90
images (31).jpg,288,175,Manhole-Closed,25,69,242,171
images (31).jpg,288,175,human,109,1,252,80
images (32).jpg,299,168,Manhole-Open,112,95,183,124
images (32).jpg,299,168,human,189,21,215,76
images (32).jpg,299,168,car,47,18,81,35
images (32).jpg,299,168,car,133,21,162,35
images (32).jpg,299,168,car,184,25,194,35
images (32).jpg,299,168,car,105,21,116,30
images (33) - Copy.jpg,276,182,Manhole-Open,102,29,253,147
images (33) - Copy.jpg,276,182,human,123,95,211,146
images (33).jpg,276,182,Manhole-Open,108,26,252,153
images (33).jpg,276,182,human,123,88,208,146
images (34).jpg,290,174,Manhole-Closed,102,62,191,98
images (34).jpg,290,174,car,249,1,290,37
images (34).jpg,290,174,human,179,1,207,29
images (34).jpg,290,174,human,136,1,156,16
images (35).jpg,275,183,Manhole-Closed,62,99,149,155
